;translation table;;Note / English / adi220_normal / approved;English / adi220_normal / approved;;;Locked / English / adi220_normal / approved;#Modified / English / adi220_normal / approved;German / adi220_normal / approved;;;Locked / German / adi220_normal / approved;#Modified / German / adi220_normal / approved;Czech / adi220_normal / approved;;;Locked / Czech / adi220_normal / approved;#Modified / Czech / adi220_normal / approved;French / adi220_normal / approved;;;Locked / French / adi220_normal / approved;#Modified / French / adi220_normal / approved;Italian / adi220_normal / approved;;;Locked / Italian / adi220_normal / approved;#Modified / Italian / adi220_normal / approved;Portuguese / adi220_normal / approved;;;Locked / Portuguese / adi220_normal / approved;#Modified / Portuguese / adi220_normal / approved;Spanish / adi220_normal / approved;;;Locked / Spanish / adi220_normal / approved;#Modified / Spanish / adi220_normal / approved;Locked / adi220_normal;Layout / adi220_normal;Status / adi220_normal;Comment / adi220_normal;Function;Coordinator;#File;Comment;Status;;
gültig?;Bezeichner;;Screen-Nr.:;English;Display;Überlänge;;;German;Display;Überlänge;;;Czech;Display;Überlänge;;;French;Display;Überlänge;;;Italian;Display;Überlänge;;;Portuguese;Display;Überlänge;;;Spanish;Display;Überlänge;;;;Layout;;;;;;;;Russian;CAN-
;Bezeichner;;Screen-Nr.:;US-English;Display;Überlänge;;;German;Display;Überlänge;;;Russian;Display;Überlänge;;;CAN-French;MISSING LAYOUT !;X;;;Dutch;Display;Überlänge;;;;MISSING LAYOUT !;X;;;Mex-Spanish;MISSING LAYOUT !;X;;;;Layout;;;;;;;;;
;qtn_stp_ta_checkbox_save_pin;;DUMMY for sync with Premium;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;;;;;;;;;;
;qtn_stp_ta_query_enter_name;;DUMMY for sync with Premium;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;;;;;;;;;;
;qtn_stp_ta_query_user_name;;DUMMY for sync with Premium;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;;;;;;;;;;
1;qtn_stp_ta_head_call_active;"S803; S942";"S803; S942";Active call;Active call;0;Not locked;24.01.2006 11:23;Aktiver Anruf;Aktiver Anruf;0;Not locked;10.05.2002 13:58;;EMPTY !;X;Not locked;10.06.2002 14:39;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;10.06.2002 14:40;;EMPTY !;X;Not locked;10.06.2002 14:40;Llamada activa;Llamada activa;0;Not locked;10.06.2002 14:41;Not locked;1_Zeile;Approved;§Header: shown during a call. In the next row a name or number is shown, or the row remains empty.;STP;Voellinger Stefanie;;Created for Seti;Proposed
1;qtn_stp_ta_head_active_tone;S642;S642;Active ring tone:;Active ring tone:;0;Not locked;24.01.2006 11:20;Aktiver Rufton:;Aktiver Rufton:;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;Timbre de llamada activo;"Timbre de
llamada activo";56;Not locked;09.02.2005 12:19;Not locked;1_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed
1;qtn_stp_ta_bt_active_device;"S562; SC03";"S562; S591;SC03";Active device;Active device;0;Not locked;24.01.2006 11:21;Aktives Gerät;Aktives Gerät;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:18;;EMPTY !;X;Not locked;09.02.2005 12:18;;EMPTY !;X;Not locked;16.03.2005 20:05;;EMPTY !;X;Not locked;09.02.2005 12:18;Dispositivo acoplado;"Dispositivo
acoplado";24;Not locked;09.02.2005 12:18;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;;Proposed
1;qtn_stp_ta_call_resume;S811;"S811; S630";Activate;Activate;0;Not locked;24.01.2006 11:19;Aktivieren;Aktivieren;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;Activar;Activar;0;Not locked;09.02.2005 12:19;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;;Proposed
1;qtn_stp_ta_pb_download;S661;S661;Update;Update;0;Not locked;24.01.2006 11:22;Aktualisieren;Aktualisieren;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;Actualizar;Actualizar;0;Not locked;09.02.2005 12:21;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;;Proposed
1;qtn_stp_ta_query_terminate_conn;S572;S572;End current connection?;"End current
connection?";0;Not locked;24.01.2006 11:24;Aktuelle Verb.\ntrennen?;"Aktuelle Verb.
trennen?";0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;16.03.2005 20:05;;EMPTY !;X;Not locked;13.04.2005 18:08;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;¿Desconectar?;¿Desconectar?;0;Not locked;09.02.2005 12:21;Not locked;2_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed
1;qtn_stp_ta_query_delete_log;S202;S202;Delete call history?;"Delete call
history?";0;Not locked;24.01.2006 11:21;Alle Anruflisten\nlöschen?;"Alle Anruflisten
löschen?";0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;16.03.2005 20:05;;EMPTY !;X;Not locked;16.03.2005 20:05;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;¿Borrar listas de llamadas?;"¿Borrar listas de
llamadas?";0;Not locked;09.02.2005 12:21;Not locked;2_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed
;;S714;S714;Delete all recordings?;"Delete all
recordings?";0;;;Alle Aufnahm.\nlöschen?;"Alle Aufnahm.
löschen?";0;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;¿Borrar todas las grab.?;"¿Borrar todas las
grab.?";0;;;;2_Zeile;;;;;;;
;;S702;S702;All recordings;All recordings;0;;;Alle Aufnahmen;Alle Aufnahmen;0;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;Todas las grab.;Todas las grab.;0;;;;Auswahl;;;;;;;
1;;S522;;Music playback paused;"Music playback
paused";0;;;Musik-\nwiedergabe\nzeitweise\nangehalten;"Musik-
wiedergabe
zeitweise
angehalten";0;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;"Reproducción de
música en pausa";"Reproducción de
música en pausa";0;;;;4_Zeile;;;;;;;
1;qtn_stp_ta_call_end_all;S812;S812;End all calls;End all calls;0;Not locked;24.01.2006 11:23;Alle beenden;Alle beenden;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;música en pausa;"música en
pausa";2;Not locked;09.02.2005 12:19;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;;Proposed
;qtn_stp_ta_note_diverts;;S807;All incoming calls diverted;"All incoming
calls diverted";0;Not locked;24.01.2006 11:17;Alle\neingehenden\nAnrufe\numgeleitet;"Alle
eingehenden
Anrufe
umgeleitet";0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;Todas las llamadas entrantes desviadas;"Todas las
llamadas
entrantes
desviadas";0;Not locked;09.02.2005 12:20;Not locked;4_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed
;;S705;S705;Pause;Pause;0;;;Pause;Pause;0;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;Pausa;Pausa;0;;;;Auswahl;;;;;;;
;;S705;S705;Delete all;Delete all;0;;;Alle Löschen;Alle Löschen;0;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;Borrar todas;Borrar todas;0;;;;Auswahl;;;;;;;
;;S715;S715;All recordings deleted;"All recordings
deleted";0;;;Alle\nAufnahmen\ngelöscht;"Alle
Aufnahmen
gelöscht";0;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;Se han borrado las grabaciones;"Se han borrado
las grabaciones";0;;;;3_Zeile;;;;;;;
