;translation table;;Note / English / adi220_normal / approved;English / adi220_normal / approved;;;Locked / English / adi220_normal / approved;#Modified / English / adi220_normal / approved;German / adi220_normal / approved;;;Locked / German / adi220_normal / approved;#Modified / German / adi220_normal / approved;Czech / adi220_normal / approved;;;Locked / Czech / adi220_normal / approved;#Modified / Czech / adi220_normal / approved;French / adi220_normal / approved;;;Locked / French / adi220_normal / approved;#Modified / French / adi220_normal / approved;Italian / adi220_normal / approved;;;Locked / Italian / adi220_normal / approved;#Modified / Italian / adi220_normal / approved;Portuguese / adi220_normal / approved;;;Locked / Portuguese / adi220_normal / approved;#Modified / Portuguese / adi220_normal / approved;Spanish / adi220_normal / approved;;;Locked / Spanish / adi220_normal / approved;#Modified / Spanish / adi220_normal / approved;Locked / adi220_normal;Layout / adi220_normal;Status / adi220_normal;Comment / adi220_normal;Function;Coordinator;#File;Comment;Status;;
gültig?;Bezeichner;;Screen-Nr.:;English;Display;Überlänge;;;German;Display;Überlänge;;;Czech;Display;Überlänge;;;French;Display;Überlänge;;;Italian;Display;Überlänge;;;Portuguese;Display;Überlänge;;;Spanish;Display;Überlänge;;;;Layout;;;;;;;;Russian;CAN-
;Bezeichner;;Screen-Nr.:;US-English;Display;Überlänge;;;German;Display;Überlänge;;;Russian;Display;Überlänge;;;CAN-French;MISSING LAYOUT !;X;;;Dutch;Display;Überlänge;;;;MISSING LAYOUT !;X;;;Mex-Spanish;MISSING LAYOUT !;X;;;;Layout;;;;;;;;;
;qtn_stp_ta_checkbox_save_pin;;DUMMY for sync with Premium;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;;;;;;;;;;
;qtn_stp_ta_query_enter_name;;DUMMY for sync with Premium;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;;;;;;;;;;
;qtn_stp_ta_query_user_name;;DUMMY for sync with Premium;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;;;;;;;;;;
;qtn_stp_ta_bt_no_conn_modem;;S936;Bluetooth conn-ection not poss-ible, modem connected;"Bluetooth conn-
ection not poss-
ible, modem
connected";0;Not locked;24.01.2006 11:22;BT-Verbindung\nnicht möglich,\nModem\nverbunden;"BT-Verbindung
nicht möglich,
Modem
verbunden";0;Not locked;16.03.2005 20:05;;EMPTY !;X;Not locked;09.02.2005 12:18;;EMPTY !;X;Not locked;16.03.2005 20:05;;EMPTY !;X;Not locked;16.03.2005 20:05;;EMPTY !;X;Not locked;16.03.2005 20:05;Conexión Bluetooh impos., módem conectado;"Conexión
Bluetooh impos.,
módem
conectado";0;Not locked;09.02.2005 12:18;Not locked;4_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed
1;;SC23;SC23;BT connection not possible,\ncell phone connected;"BT connection
not possible,
cell phone
connected";0;;;BT-Verbindung\nnicht möglich,\nMobiltelefon\nverbunden;"BT-Verbindung
nicht möglich,
Mobiltelefon
verbunden";0;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;Conexión Bluetooth ocupada , teléfono móvil conectado;"Conexión
Bluetooth
ocupada ,
teléfono móvil
conectado";56;;;;4_Zeile;;;;;;;
;;;S937;Bluetooth connection not possible, phone book loading;"Bluetooth
connection not
possible, phone
book loading";0;;;BT-Verbindung\nnicht möglich,\nTelefonbuch\nwird geladen;"BT-Verbindung
nicht möglich,
Telefonbuch
wird geladen";0;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;Conexión Bluetooh impos., cargando la guía;"Conexión
Bluetooh impos.,
cargando la guía";0;;;;4_Zeile;;;;;;;
;qtn_stp_ta_templ_thanks;;;Thank you!;Thank you!;0;Not locked;26.10.2004 16:40;Danke!;Danke!;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:22;;EMPTY !;X;Not locked;09.02.2005 12:22;;EMPTY !;X;Not locked;09.02.2005 12:22;;EMPTY !;X;Not locked;09.02.2005 12:22;¡Gracias!;¡Gracias!;0;Not locked;09.02.2005 12:22;Not locked;1_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed
1;qtn_stp_ta_time_format;S703;;MM:SS;MM:SS;0;Not locked;10.05.2002 13:49;MM:SS;MM:SS;0;Not locked;30.07.2002 17:13;;EMPTY !;X;Not locked;06.12.2002 12:29;;EMPTY !;X;Not locked;10.06.2002 14:39;;EMPTY !;X;Not locked;20.12.2002 14:15;;EMPTY !;X;Not locked;10.06.2002 14:40;MM:SS;MM:SS;0;Not locked;20.12.2002 14:21;Not locked;1_Zeile;Approved;§Header: displayed when you are in a data call. In the next row a  number will be shown, or the row remains empty.;STP;Voellinger Stefanie;;Created for Seti;Proposed
;qtn_stp_ta_head_incoming_data;;;Data call;Data call;0;Not locked;30.07.2002 17:13;Datenanruf;Datenanruf;0;Not locked;10.05.2002 13:58;;EMPTY !;X;Not locked;10.06.2002 14:39;;EMPTY !;X;Not locked;10.06.2002 14:39;;EMPTY !;X;Not locked;10.06.2002 14:40;;EMPTY !;X;Not locked;20.12.2002 14:19;Llamada datos;Llamada datos;0;Not locked;20.12.2002 14:21;Not locked;1_Zeile;Approved;§Header: displayed when a data call is coming in. In the next line a name or number is shown, or the row remains empty.;STP;Voellinger Stefanie;;Created for Seti;Proposed
1;qtn_stp_ta_head_datacall;"S901; S905";"S901; S905";Data call;Data call;0;Not locked;24.01.2006 11:22;Daten-Anruf;Daten-Anruf;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;16.03.2005 20:05;Llam. de datos;Llam. de datos;0;Not locked;09.02.2005 12:19;Not locked;1_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed
;qtn_stp_ta_supp_datacalls;;SB06;Data calls;Data calls;0;Not locked;24.01.2006 11:20;Datenanrufe;Datenanrufe;0;Not locked;19.07.2004 12:30;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;Datos;Datos;0;Not locked;09.02.2005 12:21;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;;Proposed
1;qtn_stp_ta_date_value;S213;S213;MM-DD-YYYY;MM-DD-YYYY;0;Not locked;24.01.2006 11:23;DD.MM.YYYY;DD.MM.YYYY;0;Not locked;22.09.2004 17:07;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;DD/MM/YYYY;DD/MM/YYYY;0;Not locked;09.02.2005 13:23;Not locked;1_Zeile;Approved;;STP;Voellinger Stefanie;;Created for Cumulus;Proposed
;;S705;S705;Details;Details;0;;;Details;Details;0;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;Detalles;Detalles;0;;;;Auswahl;;;;;;;
;qtn_stp_ta_note_diagnosis;;S953;Diagnosis\nactive;"Diagnosis
active";0;Not locked;24.01.2006 11:23;Diagnose\naktiv;"Diagnose
aktiv";0;Not locked;06.09.2004 16:22;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;Diagnosis activa;Diagnosis activa;0;Not locked;09.02.2005 12:20;Not locked;4_Zeile;Approved;;STP;Voellinger Stefanie;;Created for Cumulus;Proposed
1;qtn_stp_ta_call_dtmf;"S803; S812;
SC24";"S803;S812; SC24";DTMF;DTMF;0;Not locked;24.01.2006 11:18;DTMF;DTMF;0;Not locked;24.01.2006 11:18;;EMPTY !;X;Not locked;24.01.2006 11:22;;EMPTY !;X;Not locked;24.01.2006 11:22;;EMPTY !;X;Not locked;24.01.2006 11:18;;EMPTY !;X;Not locked;24.01.2006 11:22;DTMF;DTMF;0;Not locked;24.01.2006 11:24;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;;Proposed
1;qtn_stp_ta_head_dtmf;S804;S804;DTMF;DTMF;0;;;DTMF;DTMF;0;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;DTMF;DTMF;0;;;;1_Zeile;;;;;;;
;;;S812;Forward;Forward;0;;;Durchstellen;Durchstellen;0;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;Auswahl;;;;;;;
;qtn_stp_ta_setting_own_number;;;Own no. send;Own no. send;0;Not locked;24.01.2006 11:18;Eigene Nr. send.;Eigene Nr. send.;0;Not locked;19.07.2004 12:30;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;16.03.2005 20:05;;EMPTY !;X;Not locked;16.03.2005 20:05;;EMPTY !;X;Not locked;09.02.2005 12:21;Env. núm. prop.;Env. núm. prop.;0;Not locked;09.02.2005 12:21;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;;Proposed
;qtn_stp_ta_head_send_own_nbr;;S611;Own no. send.:;Own no. send.:;0;Not locked;24.01.2006 11:17;Eig. Nr. senden:;Eig. Nr. senden:;0;Not locked;19.07.2004 12:30;;EMPTY !;X;Not locked;16.03.2005 20:05;;EMPTY !;X;Not locked;16.03.2005 20:05;;EMPTY !;X;Not locked;16.03.2005 20:05;;EMPTY !;X;Not locked;09.02.2005 12:19;Env. núm. prop.:;Env. núm. prop.:;0;Not locked;10.08.2005 14:57;Not locked;1_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed
;;;S601;Own number;Own number;0;;;Eigene Nummer;Eigene Nummer;0;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;Número propio;Número propio;0;;;;Auswahl;;;;;;;
;qtn_stp_ta_note_own_nbr_send;;SB31;Own number will be sent;"Own number will
be sent";0;Not locked;24.01.2006 11:20;Eigene Nummer\nwird\ngesendet;"Eigene Nummer
wird
gesendet";0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;16.03.2005 20:05;Función envío del número propio activa;"Función envío
del número
propio activa";0;Not locked;09.02.2005 12:20;Not locked;4_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed
;qtn_stp_ta_note_own_nbr_not_snd;;SB32;Own number will not be sent;"Own number will
not be sent";0;Not locked;24.01.2006 11:19;Eigene Nummer\nwird nicht\ngesendet;"Eigene Nummer
wird nicht
gesendet";0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;16.03.2005 20:05;Función envío del número propio desact.;"Función envío
del número
propio desact.";0;Not locked;09.02.2005 12:20;Not locked;4_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed
1;;SC16;SC16;On;On;0;;;Ein;Ein;0;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;Conectado;Conectado;0;;;;Auswahl;;;;;;;
;qtn_stp_ta_sms_inbox;;S401;Inbox;Inbox;0;Not locked;24.01.2006 11:22;Eingang;Eingang;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;16.03.2005 20:05;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;Recibidos;Recibidos;0;Not locked;09.02.2005 12:21;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;;Proposed
;qtn_stp_ta_standby_off;;S668;Switch on;Switch on;0;Not locked;24.01.2006 11:22;Einschalten;Einschalten;0;Not locked;22.09.2004 17:07;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;Encender;Encender;0;Not locked;09.02.2005 12:21;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;Created for Cumulus;Proposed
1;qtn_stp_ta_main_settings;S101;S101;Settings;Settings;0;Not locked;24.01.2006 11:18;Einstellungen;Einstellungen;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;12.01.2005 11:29;;EMPTY !;X;Not locked;12.01.2005 11:29;;EMPTY !;X;Not locked;12.01.2005 11:29;;EMPTY !;X;Not locked;12.01.2005 11:29;Ajustes;Ajustes;0;Not locked;09.02.2005 12:19;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;;Proposed
1;qtn_stp_head_settings;S601;S601;Settings;Settings;0;Not locked;24.01.2006 11:18;Einstellungen;Einstellungen;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;12.01.2005 11:29;;EMPTY !;X;Not locked;12.01.2005 11:29;;EMPTY !;X;Not locked;12.01.2005 11:29;;EMPTY !;X;Not locked;12.01.2005 11:29;Ajustes;Ajustes;0;Not locked;09.02.2005 12:19;Not locked;1_Zeile;;;;;;;
;qtn_stp_ta_vcal_reminder;;S99C;Reminder;Reminder;0;Not locked;24.01.2006 11:21;Erinnerung;Erinnerung;0;Not locked;16.03.2005 20:00;;EMPTY !;X;Not locked;16.03.2005 20:00;;EMPTY !;X;Not locked;16.03.2005 20:01;;EMPTY !;X;Not locked;16.03.2005 20:00;;EMPTY !;X;Not locked;16.03.2005 20:00;Aviso;Aviso;0;Not locked;16.03.2005 20:00;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;;Proposed
;qtn_stp_ta_head_incoming_fax;;;Fax;Fax;0;Not locked;26.10.2004 16:40;Faxanruf;Faxanruf;0;Not locked;10.05.2002 13:58;;EMPTY !;X;Not locked;06.12.2002 12:29;;EMPTY !;X;Not locked;06.12.2002 12:32;;EMPTY !;X;Not locked;10.06.2002 14:40;;EMPTY !;X;Not locked;10.06.2002 14:40;Llamada de fax;Llamada de fax;0;Not locked;20.12.2002 14:21;Not locked;1_Zeile;Approved;§Header: displayed when a fax call is coming in. In the next line a number is shown, or the row remains empty.;STP;Voellinger Stefanie;;Created for Seti;Proposed
1;qtn_stp_ta_head_faxcall;"S901; S905";"S901; S905";Fax call;Fax call;0;Not locked;24.01.2006 11:24;Fax-Anruf;Fax-Anruf;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;Fax;Fax;0;Not locked;09.02.2005 12:19;Not locked;1_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed
;qtn_stp_ta_supp_faxcalls;;SB06;Fax calls;Fax calls;0;Not locked;24.01.2006 11:19;Faxanrufe;Faxanrufe;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;Fax;Fax;0;Not locked;09.02.2005 12:21;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;;Proposed
;qtn_stp_ta_menu_free;;S112;free;free;0;Not locked;24.01.2006 11:23;frei;frei;0;Not locked;19.07.2004 12:30;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;libre;libre;0;Not locked;09.02.2005 12:19;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;;Proposed
1;qtn_stp_ta_call_handsfree;"S801; SC20;
S803; S812; S815";"S801; SC20; S803; S812; S815";Handsfree;Handsfree;0;Not locked;24.01.2006 11:22;Freisprechen;Freisprechen;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;Manos libres;Manos libres;0;Not locked;09.02.2005 12:19;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;;Proposed
;qtn_stp_ta_note_roaming;;S906;Different network:;"Different
network:";0;Not locked;24.01.2006 11:20;Fremdnetz:;Fremdnetz:;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;Red;Red;0;Not locked;09.02.2005 12:20;Not locked;3_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed;
1;;S407;S407;Function only available when car is stationary;"Function only
available when
car is stationary";0;;;Funktion nur\nbei stehendem\nFahrzeug;"Funktion nur
bei stehendem
Fahrzeug";0;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;Función disp. sólo con el veh. detenido;"Función disp.
sólo con el veh.
detenido";0;;;;3_Zeile;;;;;;;;
1;qtn_stp_ta_note_visible;S554;S554;visible for\n3 minutes;"visible for
3 minutes";0;Not locked;24.01.2006 11:23;für 3 Minuten\nsichtbar;"für 3 Minuten
sichtbar";0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;visible durante\n3 minutos;"visible durante
3 minutos";0;Not locked;09.02.2005 12:21;Not locked;3_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed;
1;qtn_stp_ta_note_info_call;SA01;SA01;Press and hold button 2s\nfor info call;"Press and hold
button 2s
for info call";0;Not locked;24.01.2006 11:23;Für Inforuf\nTaste 2 Sek.\ngedrückt\nhalten;"Für Inforuf
Taste 2 Sek.
gedrückt
halten";0;Not locked;11.10.2002 16:14;;EMPTY !;X;Not locked;13.04.2005 18:08;;EMPTY !;X;Not locked;13.04.2005 18:08;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;16.03.2005 20:05;Para la llamada de servicio mantenga pulsada la tecla 2 segundos.;"Para la llamada
de servicio
mantenga
pulsada la tecla
2 segundos.";74;Not locked;13.04.2005 18:08;Not locked;4_Zeile;Approved;2002-11-28: New text. Please translate§Note: There is a separate button in the car just for info calls. When you press it this note is shown. Then you can decide whether you want to make an info call or not. This is a service you can call to get information e.g. about restaurants in a certain city;STP;Voellinger Stefanie;;Created for Seti;Proposed;
1;qtn_stp_ta_note_service_call;SA02;SA01;Press and hold button 2s\nfor service call;"Press and hold
button 2s
for service call";0;Not locked;24.01.2006 11:18;Für Pannenruf\nTaste 2 Sek.\ngedrückt\nhalten;"Für Pannenruf
Taste 2 Sek.
gedrückt
halten";0;Not locked;11.10.2002 16:14;;EMPTY !;X;Not locked;13.04.2005 18:08;;EMPTY !;X;Not locked;16.03.2005 20:05;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;16.03.2005 20:05;Para la llamada de servicio mantenga pulsada la tecla 2 segundos.;"Para la llamada
de servicio
mantenga
pulsada la tecla
2 segundos.";74;Not locked;13.04.2005 18:08;Not locked;4_Zeile;Approved;2002-11-28: New text. Please translate§Note: There is a separate button in the car just for service calls. When you press it this note is shown. Then you can decide whether you want to make a service call or not. This is a service you can call when your car broke down;STP;Voellinger Stefanie;;Created for Seti;Proposed;
;qtn_stp_ta_vcal_birthday;;S99A;Birthday;Birthday;0;Not locked;24.01.2006 11:18;Geburtstag;Geburtstag;0;Not locked;16.03.2005 20:00;;EMPTY !;X;Not locked;16.03.2005 20:01;;EMPTY !;X;Not locked;16.03.2005 20:00;;EMPTY !;X;Not locked;16.03.2005 20:00;;EMPTY !;X;Not locked;16.03.2005 20:00;Cumpleaños;Cumpleaños;0;Not locked;16.03.2005 20:00;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;;Proposed;
1;qtn_stp_ta_bt_paired_devices;"S562; SC03";S562, T562, S591, SC03;Paired devices;Paired devices;0;Not locked;24.01.2006 11:17;Gekopp. Geräte;Gekopp. Geräte;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:18;;EMPTY !;X;Not locked;13.04.2005 18:08;;EMPTY !;X;Not locked;13.04.2005 18:08;;EMPTY !;X;Not locked;13.04.2005 18:08;Aparatos vincul.;Aparatos vincul.;0;Not locked;13.04.2005 18:08;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;;Proposed;
1;qtn_stp_paired_head_devices;"S567; S5B2";"S567, S598; S5B2";Paired devices;Paired devices;0;Not locked;24.01.2006 11:17;Gekopp. Geräte;Gekopp. Geräte;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:18;;EMPTY !;X;Not locked;13.04.2005 18:08;;EMPTY !;X;Not locked;13.04.2005 18:08;;EMPTY !;X;Not locked;13.04.2005 18:08;Aparatos vincul.;Aparatos vincul.;0;Not locked;13.04.2005 18:08;Not locked;1_Zeile;;;;;;;;
;qtn_stp_ta_note_search_paired;;;Searching for paired phone.\nPlease wait!;"Searching for
paired phone.
Please wait!";0;Not locked;24.11.2004 15:38;Gekoppeltes Tel. wird gesucht.\nBitte warten!;"Gekoppeltes Tel.
wird gesucht.
Bitte warten!";0;Not locked;12.01.2005 11:29;;EMPTY !;X;Not locked;10.02.2005 10:18;;EMPTY !;X;Not locked;13.04.2005 18:08;;EMPTY !;X;Not locked;13.04.2005 18:08;;EMPTY !;X;Not locked;09.02.2005 12:20;Buscando tel. vinculado. Espere...;"Buscando tel.
vinculado.
Espere...";0;Not locked;13.04.2005 18:08;Not locked;4_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed;????????????
1;qtn_stp_ta_note_deleted;S578;S578;deleted;deleted;0;Not locked;24.01.2006 11:19;gelöscht;gelöscht;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;borrado;borrado;0;Not locked;09.02.2005 12:20;Not locked;2_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed;
1;qtn_stp_ta_note_user_deleted;S514;S514;deleted;deleted;0;Not locked;24.01.2006 11:19;gelöscht;gelöscht;0;Not locked;12.01.2005 11:29;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;borrado;borrado;0;Not locked;09.02.2005 12:21;Not locked;2_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed;
1;qtn_stp_head_device_list;S515;S515;Device list;Device list;0;;;Geräteliste;Geräteliste;0;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;Lista de dispositivos Bluetooth (BT);"Lista de
dispositivos
Bluetooth (BT)";114;;;;1_Zeile;;;;;;;;
1;qtn_stp_ta_bt_search;S902;;Replace;Replace;0;Not locked;24.01.2006 11:18;Ersetzen;Ersetzen;0;Not locked;19.07.2004 12:30;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;16.03.2005 20:05;;EMPTY !;X;Not locked;16.03.2005 20:05;;EMPTY !;X;Not locked;09.02.2005 12:19;Sustituir;Sustituir;0;Not locked;09.02.2005 12:19;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;;Proposed;
1;qtn_stp_ta_call_end_active;S902;S902;End active call;End active call;0;Not locked;24.01.2006 11:18;Gespr. beenden;Gespr. beenden;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;Colgar;Colgar;0;Not locked;09.02.2005 12:19;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;;Proposed;
1;;S597;S597;disconnected;disconnected;0;;;getrennt;getrennt;0;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;Conexión interrumpida;"Conexión
interrumpida";0;;;;2_Zeile;;;;;;;;
;;;S912;dialed;dialed;0;;;gewählt;gewählt;0;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;2_Zeile;;;;;;;;
;qtn_stp_ta_main_last_dialled;;;Dialled numbers;MISSING LAYOUT !;X;Not locked;16.08.2002 14:04;Gewählte Nrn.;MISSING LAYOUT !;X;Not locked;30.07.2002 17:13;;MISSING LAYOUT !;X;Not locked;06.12.2002 12:29;;MISSING LAYOUT !;X;Not locked;10.06.2002 14:39;;MISSING LAYOUT !;X;Not locked;20.12.2002 14:15;;MISSING LAYOUT !;X;Not locked;10.06.2002 14:40;Llams. enviadas;MISSING LAYOUT !;X;Not locked;20.12.2002 14:21;Not locked;VW_PQ35_one_row_choice_item;Approved;§Choice item: to see the list of last dialled numbers;STP;Voellinger Stefanie;;Created for Seti;Proposed;???????????
;qtn_stp_ta_setting_gprs;;S601;GPRS;GPRS;0;Not locked;24.01.2006 11:20;GPRS;GPRS;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;GPRS;GPRS;0;Not locked;09.02.2005 12:21;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;;Proposed;
;qtn_stp_ta_note_gprs_not_avail;;S9B5;GPRS not available;"GPRS not
available";0;Not locked;24.01.2006 11:23;GPRS\nnicht\nverfügbar;"GPRS
nicht
verfügbar";0;Not locked;09.02.2005 12:12;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;GPRS no disponible;"GPRS no
disponible";0;Not locked;09.02.2005 12:20;Not locked;4_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed;
